Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1783980056.2826","15:00:56.282","4","93","1.0","0","0","0","0","0","0"
"1783980056.7825","15:00:56.782","4","93","1.0","0","0","0","0","0","0"
"1783980057.2819","15:00:57.281","4","93","1.0","0","0","0","0","0","0"
"1783980057.7814","15:00:57.781","4","93","1.0","0","0","0","0","0","0"
"1783980058.2812","15:00:58.281","4","93","1.0","0","0","0","0","0","1"
"1783980058.7808","15:00:58.780","4","93","1.0","0","0","0","0","0","0"
"1783980059.2804","15:00:59.280","4","93","1.0","0","0","0","0","1","0"
"1783980059.7808","15:00:59.780","4","93","1.0","17","1","0","1","1","1"
"1783980060.2807","15:01:00.280","4","93","1.0","0","0","0","0","0","0"
"1783980060.7805","15:01:00.780","4","93","1.0","0","0","0","0","0","0"
"1783980061.2808","15:01:01.280","4","93","1.0","0","0","0","0","0","0"
"1783980061.7806","15:01:01.780","4","93","1.0","0","0","0","0","0","0"
"1783980062.2803","15:01:02.280","4","93","1.0","0","0","0","0","0","0"
"1783980062.7801","15:01:02.780","4","93","1.0","0","0","0","0","0","0"
"1783980063.2794","15:01:03.279","4","93","1.0","0","0","0","0","0","0"
"1783980063.779","15:01:03.779","4","93","1.0","0","0","0","0","0","0"
"1783980064.2793","15:01:04.279","4","93","1.0","0","0","0","0","0","0"
"1783980064.7789","15:01:04.778","4","93","1.0","0","0","0","0","0","0"
"1783980065.2786","15:01:05.278","4","93","1.0","0","0","0","0","0","0"
"1783980065.7788","15:01:05.778","4","93","1.0","0","0","0","0","0","0"
"1783980066.2785","15:01:06.278","4","93","1.0","0","0","0","0","0","0"
"1783980066.7781","15:01:06.778","4","93","1.0","25","1","2","0","2","2"
"1783980067.2784","15:01:07.278","4","93","1.0","42","2","2","1","2","2"
"1783980067.778","15:01:07.778","4","93","1.0","42","2","2","1","2","2"
"1783980068.2775","15:01:08.277","4","93","1.0","25","1","1","1","2","1"
"1783980068.7775","15:01:08.777","4","93","1.0","25","1","1","1","2","1"
"1783980069.2773","15:01:09.277","4","93","1.0","25","1","1","1","2","1"
"1783980069.7772","15:01:09.777","4","93","1.0","25","1","1","1","2","1"
"1783980070.2772","15:01:10.277","4","93","1.0","25","1","1","1","2","1"
"1783980070.7769","15:01:10.776","4","93","1.0","8","0","0","1","2","1"
"1783980071.2765","15:01:11.276","4","93","1.0","17","1","1","0","2","1"
"1783980071.7771","15:01:11.777","4","93","1.0","25","1","1","1","1","1"
"1783980072.2771","15:01:12.277","4","93","1.0","0","0","0","1","1","0"
"1783980072.7766","15:01:12.776","4","93","1.0","17","1","2","0","1","2"
"1783980073.2762","15:01:13.276","4","93","1.0","67","4","4","2","2","4"
"1783980073.7765","15:01:13.776","4","93","1.0","67","4","4","2","2","4"
"1783980074.2761","15:01:14.276","4","93","1.0","17","0","1","4","2","1"
"1783980074.7762","15:01:14.776","4","93","1.0","33","2","2","0","2","2"
"1783980075.2763","15:01:15.276","4","93","1.0","25","1","1","2","2","1"
"1783980075.7756","15:01:15.775","4","93","1.0","17","1","1","1","2","0"
"1783980076.2754","15:01:16.275","4","93","1.0","17","1","1","1","2","0"
"1783980076.7755","15:01:16.775","4","93","1.0","17","1","1","1","2","0"
"1783980077.2753","15:01:17.275","4","93","1.0","42","2","2","1","2","2"
"1783980077.7754","15:01:17.775","4","93","1.0","50","2","2","2","2","2"
"1783980078.2756","15:01:18.275","4","93","1.0","0","0","0","1","1","0"
"1783980078.775","15:01:18.775","4","93","1.0","25","1","2","0","2","2"
"1783980079.2747","15:01:19.274","4","93","1.0","42","2","4","1","2","4"
"1783980079.7753","15:01:19.775","4","93","1.0","58","4","4","2","1","4"
"1783980080.275","15:01:20.275","4","93","1.0","67","4","4","2","2","4"
"1783980080.7742","15:01:20.774","4","93","1.0","67","4","4","2","2","4"
"1783980081.2747","15:01:21.274","4","93","1.0","83","4","4","4","2","4"
"1783980081.7743","15:01:21.774","4","93","1.0","50","4","2","2","2","4"
"1783980082.2738","15:01:22.273","4","93","1.0","50","4","2","2","2","4"
"1783980082.774","15:01:22.774","4","93","1.0","67","4","4","2","2","4"
"1783980083.2736","15:01:23.273","4","93","1.0","42","4","2","2","1","4"
"1783980083.773","15:01:23.773","4","93","1.0","25","2","1","2","1","1"
"1783980084.2727","15:01:24.272","4","93","1.0","17","1","2","1","0","1"
"1783980084.7723","15:01:24.772","4","93","1.0","25","1","2","1","1","2"
"1783980085.272","15:01:25.272","4","93","1.0","25","1","2","2","0","2"
"1783980085.7724","15:01:25.772","4","93","1.0","25","1","2","2","0","2"
"1783980086.2727","15:01:26.272","4","93","1.0","25","1","1","2","1","1"
"1783980086.7719","15:01:26.771","4","93","1.0","17","1","2","1","0","2"
"1783980087.2716","15:01:27.271","4","93","1.0","33","2","2","2","0","2"
"1783980087.7718","15:01:27.771","4","93","1.0","42","2","2","2","1","2"
"1783980088.2711","15:01:28.271","4","93","1.0","17","1","1","2","0","1"
"1783980088.7711","15:01:28.771","4","93","1.0","17","1","1","1","0","1"
"1783980089.2709","15:01:29.270","4","93","1.0","25","1","1","1","1","1"
"1783980089.7704","15:01:29.770","4","93","1.0","25","1","1","1","1","1"
"1783980090.2702","15:01:30.270","4","93","1.0","17","1","1","1","0","1"
"1783980090.7709","15:01:30.770","4","93","1.0","17","1","1","1","0","1"
"1783980091.2703","15:01:31.270","4","93","1.0","17","1","1","1","0","1"
"1783980091.7698","15:01:31.769","4","93","1.0","17","1","1","1","0","2"
"1783980092.2702","15:01:32.270","4","93","1.0","17","1","1","1","0","1"
"1783980092.7703","15:01:32.770","4","93","1.0","25","1","1","1","1","1"
"1783980093.2699","15:01:33.269","4","93","1.0","25","1","1","1","1","1"
