Timestamp,Local time,Counter,Interpolated,Contact Quality,AF3,T7,Pz,T8,AF4
1783984727.399,16:18:47.399,91,false,0.0,4277.564,4371.154,4050.641,4425.385,4260.128
1783984727.4069,16:18:47.406,92,false,0.0,4261.154,4395.897,4057.179,4408.462,4262.949
1783984727.4147,16:18:47.414,93,false,0.0,4264.487,4402.692,4072.821,4401.538,4285.513
1783984727.4225,16:18:47.422,94,false,0.0,4276.41,4388.077,4062.308,4408.59,4282.051
1783984727.4303,16:18:47.430,95,false,0.0,4259.359,4385.128,4057.051,4381.923,4267.821
1783984727.4382,16:18:47.438,96,false,0.0,4256.538,4390.897,4065.641,4365.897,4272.436
1783984727.446,16:18:47.446,97,false,0.0,4276.41,4390.897,4064.231,4377.821,4273.974
1783984727.4538,16:18:47.453,98,false,0.0,4279.359,4382.436,4067.821,4377.692,4272.692
1783984727.4616,16:18:47.461,99,false,0.0,4283.974,4373.462,4077.949,4373.846,4276.154
1783984727.4693,16:18:47.469,100,false,0.0,4290.385,4372.436,4068.077,4361.282,4264.744
1783984727.4772,16:18:47.477,101,false,0.0,4266.667,4377.051,4048.205,4332.436,4239.231
1783984727.485,16:18:47.485,102,false,0.0,4255.128,4386.923,4036.667,4337.692,4217.051
1783984727.4928,16:18:47.492,103,false,0.0,4282.564,4400.513,4028.846,4362.564,4210.256
1783984727.5005,16:18:47.500,104,false,0.0,4298.333,4405.641,4021.538,4349.231,4216.026
1783984727.5083,16:18:47.508,105,false,0.0,4296.41,4395.641,4005.641,4346.282,4219.615
1783984727.5161,16:18:47.516,106,false,0.0,4302.179,4366.282,3983.974,4392.821,4239.103
1783984727.5239,16:18:47.523,107,false,0.0,4297.051,4321.538,3989.615,4420.385,4288.333
1783984727.5318,16:18:47.531,108,false,0.0,4277.821,4293.462,4025.769,4406.538,4329.744
1783984727.5396,16:18:47.539,109,false,0.0,4265.897,4305.769,4058.462,4391.282,4351.282
1783984727.5474,16:18:47.547,110,false,0.0,4262.564,4336.795,4078.077,4368.718,4367.692
1783984727.5553,16:18:47.555,111,false,0.0,4270.769,4356.667,4084.744,4338.205,4361.538
1783984727.563,16:18:47.563,112,false,0.0,4283.59,4364.487,4075.641,4328.077,4339.359
1783984727.5708,16:18:47.570,113,false,0.0,4277.051,4371.923,4073.462,4323.846,4324.487
1783984727.5786,16:18:47.578,114,false,0.0,4266.154,4375.513,4082.436,4311.154,4305.513
1783984727.5864,16:18:47.586,115,false,0.0,4273.59,4373.974,4078.59,4309.231,4291.154
1783984727.5941,16:18:47.594,116,false,0.0,4280.513,4382.436,4073.333,4307.692,4290.256
1783984727.6019,16:18:47.601,117,false,0.0,4278.718,4395.385,4080.256,4295.897,4278.846
1783984727.6097,16:18:47.609,118,false,0.0,4283.462,4395.513,4078.718,4295.128,4270.641
1783984727.6175,16:18:47.617,119,false,0.0,4287.949,4398.718,4071.41,4299.872,4279.615
1783984727.6252,16:18:47.625,120,false,0.0,4282.692,4409.615,4074.872,4298.59,4272.692
1783984727.6331,16:18:47.633,121,false,0.0,4280.513,4397.821,4075.0,4302.051,4259.231
1783984727.6409,16:18:47.640,122,false,0.0,4285.641,4374.231,4068.974,4299.103,4265.897
1783984727.6487,16:18:47.648,123,false,0.0,4283.333,4375.128,4070.385,4297.821,4269.615
1783984727.6564,16:18:47.656,124,false,0.0,4270.128,4387.179,4073.59,4325.385,4274.103
1783984727.6642,16:18:47.664,125,false,0.0,4263.462,4388.462,4077.308,4337.821,4303.846
1783984727.672,16:18:47.672,126,false,0.0,4269.487,4392.179,4085.128,4310.385,4332.564
1783984727.6798,16:18:47.679,127,false,0.0,4272.821,4402.051,4087.308,4311.41,4339.231
1783984727.6875,16:18:47.687,0,false,0.0,4268.974,4399.103,4081.667,4340.128,4335.641
1783984727.6953,16:18:47.695,1,false,0.0,4265.0,4379.487,4073.59,4325.128,4323.974
1783984727.7032,16:18:47.703,2,false,0.0,4257.821,4367.051,4067.179,4295.256,4307.179
1783984727.711,16:18:47.711,3,false,0.0,4255.641,4380.513,4069.872,4308.718,4291.923
1783984727.7189,16:18:47.718,4,false,0.0,4267.692,4399.359,4075.128,4326.154,4280.0
1783984727.7267,16:18:47.726,5,false,0.0,4270.641,4400.513,4078.077,4311.026,4280.385
1783984727.7345,16:18:47.734,6,false,0.0,4264.103,4398.846,4087.179,4304.615,4282.821
1783984727.7423,16:18:47.742,7,false,0.0,4276.538,4401.282,4085.897,4321.026,4270.641
1783984727.7502,16:18:47.750,8,false,0.0,4281.026,4397.051,4068.718,4307.949,4264.487
1783984727.758,16:18:47.758,9,false,0.0,4255.513,4399.872,4069.744,4273.718,4272.179
1783984727.7658,16:18:47.765,10,false,0.0,4250.128,4413.205,4077.179,4295.256,4268.974
1783984727.7736,16:18:47.773,11,false,0.0,4267.692,4410.0,4063.59,4346.41,4265.897
1783984727.7816,16:18:47.781,12,false,0.0,4258.333,4395.256,4067.564,4341.795,4284.231
1783984727.7894,16:18:47.789,13,false,0.0,4243.333,4390.897,4090.0,4312.692,4305.641
1783984727.7972,16:18:47.797,14,false,0.0,4249.615,4380.641,4075.769,4317.692,4315.769
1783984727.805,16:18:47.805,15,false,0.0,4250.769,4358.205,4050.256,4332.692,4317.179
1783984727.8129,16:18:47.812,16,false,0.0,4253.077,4350.769,4059.487,4339.487,4316.667
1783984727.8207,16:18:47.820,17,false,0.0,4269.231,4367.308,4069.487,4335.385,4325.385
1783984727.8285,16:18:47.828,18,false,0.0,4276.026,4386.026,4061.41,4317.051,4331.41
1783984727.8363,16:18:47.836,19,false,0.0,4275.128,4382.564,4061.538,4319.487,4321.538
1783984727.844,16:18:47.844,20,false,0.0,4272.308,4363.59,4065.513,4335.513,4305.769
