id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
20,1120012.712047,80.69099998101592,150,152,0.44945664009177344,0.5024631748260762,1.4156822438758272,1.0,3d gaze,-12.817614952100742,-8.647572057799096,175.39938364809717,1120012.712047 1120012.7160815 1120012.720116 1120012.7241504998 1120012.728185 1120012.7322195 1120012.736254 1120012.7402885002 1120012.744323 1120012.7483575 1120012.752392 1120012.7564265002 1120012.760461 1120012.7644955 1120012.7685305001 1120012.7725654999 1120012.7766 1120012.7806345 1120012.784669 1120012.7887034998 1120012.792738
21,1120012.7967725,217.86449989303946,152,159,0.4512524904811161,0.518326836834359,1.2963641642490373,1.0,3d gaze,-12.549688601682119,-11.46728932195812,179.14332243062296,1120012.7967725 1120012.800807 1120012.8048414998 1120012.8088759999 1120012.8129105 1120012.816945 1120012.8209795002 1120012.825014 1120012.8290485 1120012.833083 1120012.8371175001 1120012.841152 1120012.8451864999 1120012.849221 1120012.8532555 1120012.85729 1120012.8613244998 1120012.865359 1120012.8693935 1120012.873428 1120012.8774624998 1120012.8814969999 1120012.8855315 1120012.889566 1120012.893601 1120012.8976355 1120012.90167 1120012.9057045002 1120012.909739 1120012.9137735 1120012.917808 1120012.9218425 1120012.925877 1120012.9299114998 1120012.933946 1120012.9379805 1120012.942015 1120012.9460494998 1120012.950084 1120012.9541185 1120012.958153 1120012.962188 1120012.9662225 1120012.970257 1120012.9742915002 1120012.978326 1120012.9823605 1120012.986395 1120012.9904295001 1120012.994464 1120012.9984984999 1120013.002533 1120013.006568 1120013.0106024998 1120013.014637
22,1120013.0186715,117.00099986046553,159,162,0.4596410594548279,0.5263214658813337,1.2456245232296896,0.9944772322972616,3d gaze,-10.82405522539015,-13.771457836053843,192.40338697708756,1120013.0186715 1120013.022706 1120013.0267405 1120013.030775 1120013.0348095 1120013.038844 1120013.0428785002 1120013.046913 1120013.0509475 1120013.054982 1120013.0590165001 1120013.063051 1120013.0670854999 1120013.07112 1120013.0751545 1120013.079189 1120013.0832234998 1120013.087258 1120013.0912925 1120013.095327 1120013.0993615 1120013.103396 1120013.1074305 1120013.1114655002 1120013.1155 1120013.1195345 1120013.123569 1120013.1276035002 1120013.131638 1120013.1356725
23,1120013.405986,217.8645001258701,170,177,0.44900911429002927,0.5207860163490153,1.4632193427926754,0.998766689930322,3d gaze,-13.130837739399905,-11.80913826275231,178.16116244079564,1120013.405986 1120013.4100205 1120013.414055 1120013.4180895002 1120013.422124 1120013.4261585 1120013.430193 1120013.4342275 1120013.438262 1120013.4422964999 1120013.446331 1120013.4503655 1120013.4544 1120013.4584344998 1120013.462469 1120013.466504 1120013.4705385 1120013.474573 1120013.4786075 1120013.482642 1120013.4866765002 1120013.490711 1120013.4947455 1120013.49878 1120013.5028145001 1120013.506849 1120013.5108834999 1120013.514918 1120013.5189525 1120013.522987 1120013.5270214998 1120013.531056 1120013.5350905 1120013.539125 1120013.5431595 1120013.547194 1120013.5512285 1120013.555263 1120013.5592975002 1120013.563332 1120013.567367 1120013.571402 1120013.579471 1120013.5835055 1120013.58754 1120013.5915744998 1120013.5996435 1120013.603678 1120013.6077124998 1120013.611747 1120013.6157815 1120013.619816 1120013.6238505002
24,1120013.627885,177.51950002275407,177,182,0.4466703743675007,0.5287618532301237,1.3507920723840943,0.999703918562995,3d gaze,-13.874628368835989,-13.194104550826381,179.1608380949791,1120013.627885 1120013.6319195 1120013.635954 1120013.6399885002 1120013.644023 1120013.6480575 1120013.652092 1120013.6561265 1120013.660161 1120013.6641954998 1120013.66823 1120013.6722645 1120013.676299 1120013.6803334998 1120013.6843685 1120013.6884030001 1120013.6924375 1120013.6964719999 1120013.7005065 1120013.704541 1120013.7085755002 1120013.71261 1120013.7166445 1120013.720679 1120013.7247135001 1120013.728748 1120013.7327824999 1120013.736817 1120013.7408515 1120013.744886 1120013.7489204998 1120013.752955 1120013.7569895 1120013.7610240001 1120013.7650585 1120013.7690929999 1120013.7731275 1120013.7771625002 1120013.781197 1120013.7852315 1120013.789266 1120013.7933005001 1120013.7973355 1120013.80137 1120013.8054045
25,1120013.809439,121.03550019674003,182,186,0.46261957410148374,0.5490016519691169,1.493803369280602,1.0,3d gaze,-9.731781455707436,-17.38276295762163,188.9288687687378,1120013.809439 1120013.8134734998 1120013.817508 1120013.8215425 1120013.825577 1120013.8296114998 1120013.833646 1120013.8376805 1120013.841715 1120013.8457495002 1120013.849784 1120013.8538185 1120013.857853 1120013.8618875002 1120013.865922 1120013.8699565 1120013.873991 1120013.8780255 1120013.88206 1120013.8860944998 1120013.890129 1120013.8941635 1120013.898198 1120013.9022324998 1120013.906267 1120013.9103020001 1120013.9143365 1120013.918371 1120013.9224055 1120013.92644 1120013.9304745002
26,1120013.934509,217.8645001258701,186,193,0.4650236617074881,0.5665994853412653,1.0110607641811524,0.9993717150254683,3d gaze,-9.514170102121462,-21.55204083680663,199.03748132662423,1120013.934509 1120013.9385435 1120013.942578 1120013.9466125001 1120013.950647 1120013.9546814999 1120013.958716 1120013.9627505 1120013.966785 1120013.9708194998 1120013.974854 1120013.9788890001 1120013.9829235 1120013.9869579999 1120013.9909925 1120013.995027 1120013.9990615002 1120014.003096 1120014.0071305 1120014.011165 1120014.0151995001 1120014.019234 1120014.023269 1120014.0273035 1120014.031338 1120014.0353724998 1120014.039407 1120014.0434415 1120014.047476 1120014.0515105 1120014.055545 1120014.0595795 1120014.063614 1120014.0676485 1120014.071683 1120014.0757175 1120014.079752 1120014.0837865002 1120014.087821 1120014.0918555 1120014.09589 1120014.0999245 1120014.103959 1120014.1079934998 1120014.112028 1120014.1160625 1120014.120097 1120014.1241315 1120014.128166 1120014.1322005 1120014.1362355 1120014.1402699999 1120014.1443045 1120014.148339 1120014.1523735002
27,1120014.156408,145.2430000063032,193,197,0.4664495746026729,0.549672178556882,1.4273649324308002,0.9997617328489149,3d gaze,-8.860862991821955,-18.165196042657424,195.27949321234888,1120014.156408 1120014.1604425 1120014.164477 1120014.1685115001 1120014.1725464999 1120014.176581 1120014.1806155 1120014.18465 1120014.1886844998 1120014.192719 1120014.1967535 1120014.200788 1120014.2048225 1120014.2088569999 1120014.2128915 1120014.216926 1120014.2209605002 1120014.224995 1120014.2290295 1120014.233064 1120014.2370985001 1120014.241133 1120014.2451674999 1120014.2492025 1120014.253237 1120014.2572714998 1120014.261306 1120014.2653405 1120014.2693750001 1120014.2734095 1120014.277444 1120014.2814785 1120014.285513 1120014.2895475002 1120014.293582 1120014.2976165 1120014.301651
28,1120014.3056855001,217.86449989303946,197,204,0.46564101320291157,0.5289541069307923,0.8264975860453296,0.9999743879966017,3d gaze,-8.86645930000574,-13.976881735954576,189.87435837395282,1120014.3056855001 1120014.30972 1120014.3137545 1120014.317789 1120014.3218235 1120014.325858 1120014.3298924998 1120014.333927 1120014.3379615 1120014.3419960001 1120014.3460305 1120014.350065 1120014.3540995 1120014.358134 1120014.3662035 1120014.370238 1120014.3742725002 1120014.378307 1120014.382342 1120014.3863765001 1120014.390411 1120014.3944454999 1120014.39848 1120014.406549 1120014.4105834998 1120014.414618 1120014.4186525 1120014.4226870001 1120014.4267215 1120014.4307559999 1120014.4347905 1120014.438825 1120014.4428595002 1120014.446894 1120014.4509285 1120014.454963 1120014.4589975001 1120014.463032 1120014.4670664999 1120014.471101 1120014.475136 1120014.4791704998 1120014.483205 1120014.4872395 1120014.491274 1120014.4953085 1120014.499343 1120014.5033775 1120014.507412 1120014.5114465 1120014.515481 1120014.5195155 1120014.52355
29,1120014.5275845001,161.3809997215867,204,209,0.4656148558331814,0.5352262039907303,0.759854874911844,0.9921047773593809,3d gaze,-8.961816474461903,-15.241826208846405,191.82930934190142,1120014.5275845001 1120014.531619 1120014.5356535 1120014.539688 1120014.5437225 1120014.547757 1120014.5517914998 1120014.555826 1120014.5598605 1120014.563895 1120014.5679295 1120014.571964 1120014.575999 1120014.5800335 1120014.5840679999 1120014.588103 1120014.5921375002 1120014.596172 1120014.6002065 1120014.604241 1120014.6082755001 1120014.61231 1120014.6163444999 1120014.620379 1120014.6244135 1120014.628448 1120014.6324824998 1120014.636517 1120014.6405515 1120014.6445860001 1120014.6486205 1120014.6526549999 1120014.6566895 1120014.660724 1120014.6647585002 1120014.668793 1120014.6728275 1120014.676862 1120014.6808965001 1120014.684931 1120014.6889654999
30,1120014.8947265,161.38150007463992,215,220,0.45428096183961014,0.5487030372061951,1.301138262371337,1.0,3d gaze,-12.49907104597538,-17.624424218811335,191.7621421563943,1120014.8947265 1120014.898761 1120014.9027955001 1120014.90683 1120014.9108644999 1120014.914899 1120014.9189335 1120014.922968 1120014.9310375 1120014.9350720001 1120014.9391065 1120014.9431409999 1120014.9471755 1120014.95121 1120014.9552445 1120014.959279 1120014.9633135 1120014.967348 1120014.9713825001 1120014.975417 1120014.9794514999 1120014.983486 1120014.987521 1120014.9915554998 1120014.99559 1120014.9996245 1120015.0036590002 1120015.0076935 1120015.011728 1120015.0157625 1120015.019797 1120015.0238315 1120015.0278659998 1120015.0319005 1120015.035935 1120015.03997 1120015.0440045 1120015.048039 1120015.0520735001 1120015.056108
