Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1784152521.2959","14:55:21.295","4","98","1.0","42","2","1","2","2","2"
"1784152521.7951","14:55:21.795","4","98","1.0","42","2","2","2","1","2"
"1784152522.2954","14:55:22.295","4","98","1.0","42","2","2","2","1","2"
"1784152522.7948","14:55:22.794","4","98","1.0","42","2","2","2","1","2"
"1784152523.2941","14:55:23.294","4","98","1.0","42","2","2","2","1","2"
"1784152523.7945","14:55:23.794","4","98","1.0","50","2","2","2","2","2"
"1784152524.2944","14:55:24.294","4","98","1.0","33","2","1","2","1","2"
"1784152524.7937","14:55:24.793","4","98","1.0","33","2","1","2","1","2"
"1784152525.2935","14:55:25.293","4","98","1.0","33","2","1","2","1","2"
"1784152525.7942","14:55:25.794","4","98","1.0","33","2","1","2","1","2"
"1784152526.2938","14:55:26.293","4","98","1.0","42","2","2","2","1","2"
"1784152526.7937","14:55:26.793","4","98","1.0","33","2","1","2","1","2"
"1784152527.2935","14:55:27.293","4","98","1.0","42","2","2","2","1","2"
"1784152527.793","14:55:27.793","4","98","1.0","42","2","2","2","1","2"
"1784152528.2928","14:55:28.292","4","98","1.0","42","2","2","2","1","2"
"1784152528.7926","14:55:28.792","4","98","1.0","42","2","2","2","1","2"
"1784152529.2925","14:55:29.292","4","98","1.0","42","2","2","2","1","2"
"1784152529.7929","14:55:29.792","4","98","1.0","42","2","1","2","2","2"
"1784152530.2933","14:55:30.293","4","98","1.0","50","2","2","2","2","2"
"1784152530.7933","14:55:30.793","4","98","1.0","42","2","2","2","1","2"
"1784152531.2934","14:55:31.293","4","98","1.0","33","2","1","2","1","2"
"1784152531.7934","14:55:31.793","4","98","1.0","33","2","1","2","1","2"
"1784152532.2933","14:55:32.293","4","98","1.0","42","2","1","2","2","2"
"1784152532.7931","14:55:32.793","4","98","1.0","42","2","1","2","2","2"
"1784152533.2932","14:55:33.293","4","98","1.0","42","2","2","2","1","2"
"1784152533.7926","14:55:33.792","4","98","1.0","42","2","2","2","1","2"
"1784152534.292","14:55:34.292","4","98","1.0","42","2","2","2","1","2"
"1784152534.7921","14:55:34.792","4","98","1.0","33","2","1","2","1","2"
"1784152535.2913","14:55:35.291","4","98","1.0","42","2","1","2","2","2"
"1784152535.7908","14:55:35.790","4","98","1.0","50","2","2","2","2","2"
"1784152536.2912","14:55:36.291","4","98","1.0","42","2","2","2","1","2"
"1784152536.7908","14:55:36.790","4","98","1.0","42","2","2","2","1","2"
"1784152537.2905","14:55:37.290","4","98","1.0","42","2","2","2","1","2"
"1784152537.7908","14:55:37.790","4","98","1.0","42","2","1","2","2","2"
"1784152538.2912","14:55:38.291","4","98","1.0","33","2","1","2","1","2"
"1784152538.7907","14:55:38.790","4","98","1.0","50","2","2","2","2","2"
"1784152539.2905","14:55:39.290","4","98","1.0","42","2","2","2","1","2"
"1784152539.7902","14:55:39.790","4","98","1.0","50","2","2","4","2","2"
"1784152540.29","14:55:40.290","4","98","1.0","83","4","2","4","4","4"
"1784152540.7896","14:55:40.789","4","98","1.0","83","4","2","4","4","4"
"1784152541.2901","14:55:41.290","4","98","1.0","83","4","2","4","4","4"
"1784152541.7893","14:55:41.789","4","98","1.0","58","4","1","2","4","4"
"1784152542.2894","14:55:42.289","4","98","1.0","58","4","1","2","4","4"
"1784152542.7898","14:55:42.789","4","98","1.0","75","4","1","4","4","4"
"1784152543.2895","14:55:43.289","4","98","1.0","83","4","2","4","4","4"
"1784152543.7889","14:55:43.788","4","98","1.0","75","4","1","4","4","4"
"1784152544.2894","14:55:44.289","4","98","1.0","83","4","2","4","4","4"
"1784152544.7896","14:55:44.789","4","98","1.0","83","4","2","4","4","4"
"1784152545.2895","14:55:45.289","4","98","1.0","75","4","1","4","4","4"
"1784152545.7889","14:55:45.788","4","98","1.0","75","4","1","4","4","4"
"1784152546.2885","14:55:46.288","4","98","1.0","83","4","2","4","4","4"
"1784152546.7882","14:55:46.788","4","98","1.0","83","4","2","4","4","4"
"1784152547.2884","14:55:47.288","4","98","1.0","50","2","2","2","2","2"
"1784152547.7883","14:55:47.788","4","98","1.0","42","2","2","2","1","2"
"1784152548.2879","14:55:48.287","4","98","1.0","33","2","1","2","1","2"
"1784152548.7884","14:55:48.788","4","98","1.0","50","2","2","2","2","2"
"1784152549.288","14:55:49.288","4","98","1.0","50","2","2","2","2","2"
"1784152549.7875","14:55:49.787","4","98","1.0","50","2","2","2","2","2"
"1784152550.2875","14:55:50.287","4","98","1.0","42","2","1","2","2","2"
